task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00244,CPU_TASK,8,54867,54870,54900,54900,30,COMPLETED,worker-1,0
mixed-42-00245,MATRIX_TASK,9,55067,55072,55117,55117,45,COMPLETED,worker-1,6
mixed-42-00246,MONTE_CARLO_TASK,8,55234,55237,55325,55443,206,COMPLETED,worker-1,99
mixed-42-00247,GRAPH_TASK,3,55284,55287,55328,55328,41,COMPLETED,worker-1,6
mixed-42-00248,SORT_TASK,8,55326,55328,55445,55445,117,COMPLETED,worker-1,2
mixed-42-00249,GRAPH_TASK,1,55337,55341,55446,55446,105,COMPLETED,worker-1,11
mixed-42-00250,FILE_IO_TASK,3,55553,55557,55652,55652,95,COMPLETED,worker-1,26
mixed-42-00251,FILE_IO_TASK,8,55695,55698,55768,55768,70,COMPLETED,worker-1,36
mixed-42-00252,SLEEP_TASK,8,55709,55712,55769,55886,174,COMPLETED,worker-1,106
mixed-42-00253,FILE_IO_TASK,5,55876,55885,56000,56000,115,COMPLETED,worker-1,26
mixed-42-00254,MONTE_CARLO_TASK,10,56011,56013,56103,56103,90,COMPLETED,worker-1,56
mixed-42-00255,MATRIX_TASK,9,56055,56059,56105,56105,46,COMPLETED,worker-1,18
mixed-42-00256,SORT_TASK,9,56105,56108,56209,56209,101,COMPLETED,worker-1,3
mixed-42-00257,HASH_TASK,9,56151,56155,56210,56210,55,COMPLETED,worker-1,16
mixed-42-00258,CPU_TASK,8,56286,56294,56327,56327,33,COMPLETED,worker-1,15
mixed-42-00259,SORT_TASK,6,56379,56383,56436,56436,53,COMPLETED,worker-1,30
mixed-42-00260,SORT_TASK,4,56402,56405,56438,56438,33,COMPLETED,worker-1,1
mixed-42-00261,MONTE_CARLO_TASK,2,56431,56434,56440,56541,107,COMPLETED,worker-1,103
mixed-42-00262,CPU_TASK,7,56436,56441,56543,56543,102,COMPLETED,worker-1,1
mixed-42-00263,COMPRESS_TASK,2,56586,56589,56648,56759,170,COMPLETED,worker-1,131
mixed-42-00264,GRAPH_TASK,8,56597,56602,56650,56650,48,COMPLETED,worker-1,8
mixed-42-00265,MATRIX_TASK,9,56687,56688,56761,56761,73,COMPLETED,worker-1,5
mixed-42-00266,MONTE_CARLO_TASK,10,56715,56718,56762,56869,151,COMPLETED,worker-1,81
mixed-42-00267,FILE_IO_TASK,7,56737,56740,56764,56870,130,COMPLETED,worker-1,28
mixed-42-00268,MONTE_CARLO_TASK,10,56833,56842,56872,56981,139,COMPLETED,worker-1,92
mixed-42-00269,FILE_IO_TASK,10,56992,57002,57083,57083,81,COMPLETED,worker-1,24
mixed-42-00270,HTTP_TASK,10,57040,57043,57086,57188,145,COMPLETED,worker-1,50
mixed-42-00271,MONTE_CARLO_TASK,8,57089,57092,57190,57190,98,COMPLETED,worker-1,25
mixed-42-00272,FILE_IO_TASK,10,57232,57234,57303,57303,69,COMPLETED,worker-1,22
mixed-42-00273,CPU_TASK,6,57343,57353,57415,57415,62,COMPLETED,worker-1,12
mixed-42-00274,MATRIX_TASK,10,57532,57542,57632,57632,90,COMPLETED,worker-1,24
mixed-42-00275,SLEEP_TASK,2,57540,57551,57633,57852,301,COMPLETED,worker-1,294
mixed-42-00276,COMPRESS_TASK,3,57736,57747,57856,57975,228,COMPLETED,worker-1,124
mixed-42-00277,CPU_TASK,10,57956,57964,57977,58083,119,COMPLETED,worker-1,10
mixed-42-00278,SLEEP_TASK,9,58022,58030,58084,58521,491,COMPLETED,worker-1,475
mixed-42-00279,SORT_TASK,6,58085,58088,58194,58194,106,COMPLETED,worker-1,0
mixed-42-00280,SLEEP_TASK,4,58229,58234,58302,58631,397,COMPLETED,worker-1,305
mixed-42-00281,SLEEP_TASK,8,58553,58556,58632,58956,400,COMPLETED,worker-1,296
mixed-42-00282,MONTE_CARLO_TASK,4,58738,58741,58851,58851,110,COMPLETED,worker-1,93
mixed-42-00283,GRAPH_TASK,3,58782,58784,58854,58854,70,COMPLETED,worker-1,48
mixed-42-00284,MATRIX_TASK,10,58839,58849,58962,58962,113,COMPLETED,worker-1,7
mixed-42-00285,HTTP_TASK,7,58895,58897,58964,58964,67,COMPLETED,worker-1,58
